College,Degree,Hours_Required,Categories,Delivery,Delivery_Method_1,Delivery_Method_2,Delivery_Method_3,Category_1,Category_2,Category_3,On-Campus,Online,Hybrid,Minor,Major,Undergraduate,Certificate_Endorsement,Associate,Graduate
Rankin College of Buisiness,Accounting,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,BBA/MBA (4+1 program),150,"Graduate, Undergraduate","On-Campus, Online",On-Campus,Online,,Graduate,Undergraduate,,Yes,Yes,No,No,No,Yes,No,No,Yes
Rankin College of Buisiness,Business Administration (Associates),61,"Associate, Undergraduate",On-Campus,On-Campus,,,Associate,Undergraduate,,Yes,No,No,No,No,Yes,No,Yes,No
Rankin College of Buisiness,Business Leadership Graduate Certificate,12,"Certificate / Endorsement, Graduate","On-Campus, Online",On-Campus,Online,,Certificate / Endorsement,Graduate,,Yes,Yes,No,No,No,No,Yes,No,Yes
Rankin College of Buisiness,Data Analytics Graduate Certificate,12,"Certificate / Endorsement, Graduate","On-Campus, Online",On-Campus,Online,,Certificate / Endorsement,Graduate,,Yes,Yes,No,No,No,No,Yes,No,Yes
Rankin College of Buisiness,Entrepreneurship,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,Financial Analysis,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,General Business,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,General Business with Minor in Agricultural Industries,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Rankin College of Buisiness,Healthcare Administration,120,"Major, Undergraduate","On-Campus, Online",On-Campus,Online,,Major,Undergraduate,,Yes,Yes,No,No,Yes,Yes,No,No,No
Rankin College of Buisiness,Information Systems Analytics,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,International Business,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Rankin College of Buisiness,Management,120,"Major, Minor, Undergraduate","On-Campus, Online",On-Campus,Online,,Major,Minor,Undergraduate,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,Management (2 + 2),57 or more,"Major, Undergraduate","Hybrid, On-Campus, Online",Hybrid,On-Campus,Online,Major,Undergraduate,,Yes,Yes,Yes,No,Yes,Yes,No,No,No
Rankin College of Buisiness,Marketing (Media Option),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,Marketing (Retailing Option),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,Marketing (Sales Option),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,Master of Business Administration,30,Graduate,"Hybrid, On-Campus, Online",Hybrid,On-Campus,Online,Graduate,,,Yes,Yes,Yes,No,No,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Agri-Business Emphasis,33,Graduate,"Hybrid, On-Campus, Online",Hybrid,On-Campus,Online,Graduate,,,Yes,Yes,Yes,No,No,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Business Leadership Emphasis,33,Graduate,"Hybrid, On-Campus, Online",Hybrid,On-Campus,Online,Graduate,,,Yes,Yes,Yes,No,No,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Data Analytics Emphasis,33,Graduate,"Hybrid, On-Campus, Online",Hybrid,On-Campus,Online,Graduate,,,Yes,Yes,Yes,No,No,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Social Entrepreneurship Emphasis,36,Graduate,"Hybrid, On-Campus, Online",Hybrid,On-Campus,Online,Graduate,,,Yes,Yes,Yes,No,No,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Supply Chain Management Emphasis,33,Graduate,"Hybrid, On-Campus, Online",Hybrid,On-Campus,Online,Graduate,,,Yes,Yes,Yes,No,No,No,No,No,Yes
Rankin College of Buisiness,Minor in Economics,15,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Rankin College of Buisiness,Minor in Economics,15,"Minor, Undergraduate","On-Campus, Online",On-Campus,Online,,Minor,Undergraduate,,Yes,Yes,No,Yes,No,Yes,No,No,No
