College,Degree,Hours_Required,On-Campus,Online,Hybrid,Undergraduate,Certificate_Endorsement,Associate,Graduate
Rankin College of Buisiness,Accounting,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,BBA/MBA (4+1 program),150,Yes,Yes,No,Yes,No,No,Yes
Rankin College of Buisiness,Business Administration (Associates),61,Yes,No,No,Yes,No,Yes,No
Rankin College of Buisiness,Business Leadership Graduate Certificate,12,Yes,Yes,No,No,Yes,No,Yes
Rankin College of Buisiness,Data Analytics Graduate Certificate,12,Yes,Yes,No,No,Yes,No,Yes
Rankin College of Buisiness,Entrepreneurship,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Financial Analysis,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,General Business,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,General Business with Minor in Agricultural Industries,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Healthcare Administration,120,Yes,Yes,No,Yes,No,No,No
Rankin College of Buisiness,Information Systems Analytics,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,International Business,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Management,120,Yes,Yes,No,Yes,No,No,No
Rankin College of Buisiness,Management (2 + 2),0,Yes,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,Marketing (Media Option),120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Marketing (Retailing Option),120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Marketing (Sales Option),120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Master of Business Administration,30,Yes,Yes,Yes,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Agri-Business Emphasis,33,Yes,Yes,Yes,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Business Leadership Emphasis,33,Yes,Yes,Yes,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Data Analytics Emphasis,33,Yes,Yes,Yes,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Social Entrepreneurship Emphasis,36,Yes,Yes,Yes,No,No,No,Yes
Rankin College of Buisiness,Master of Business Administration with Supply Chain Management Emphasis,33,Yes,Yes,Yes,No,No,No,Yes
Rankin College of Buisiness,Minor in Economics,15,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Minor in Economics,15,Yes,Yes,No,Yes,No,No,No
Rankin College of Buisiness,Supply Chain Management,120,Yes,No,No,Yes,No,No,No
Rankin College of Buisiness,Supply Chain Management Graduate Certificate,12,Yes,Yes,No,No,Yes,No,Yes
Rankin College of Buisiness,Wealth Management,120,Yes,No,No,Yes,No,No,No
College of Education,Agricultural Education,120,Yes,No,No,Yes,No,No,No
College of Education,Certificate of Proficiency in Teaching,9,Yes,No,No,Yes,Yes,No,No
College of Education,Doctor of Education in Rural and Diverse Educational Leadership,60,No,Yes,No,No,No,No,Yes
College of Education,EDAS: Building Level Leadership Graduate Certificate,18,No,Yes,No,No,Yes,No,Yes
College of Education,EDAS: District Level Leadership Graduate Certificate,18,No,Yes,No,No,Yes,No,Yes
College of Education,EDAS: Program Administrator Graduate Certificate,18,No,Yes,No,No,Yes,No,Yes
College of Education,Education Graduate Certificate,12,No,Yes,No,No,Yes,No,Yes
College of Education,Elementary Education (Associates),61,Yes,No,No,Yes,No,Yes,No
College of Education,Elementary Education (K-6 STEM),120,Yes,No,Yes,Yes,No,No,No
College of Education,English (Education),120,Yes,No,No,Yes,No,No,No
College of Education,Exercise Science (Pre-Professional),120,Yes,No,No,Yes,No,No,No
College of Education,Exercise Science (Strength & Conditioning),120,Yes,No,No,Yes,No,No,No
College of Education,Foreign Language (Spanish Education),120,Yes,No,No,Yes,No,No,No
College of Education,Instructional Design Graduate Certificate,21,No,Yes,No,No,Yes,No,Yes
College of Education,Instructional Facilitator / LEAD Teacher Graduate Certificate,15,No,Yes,No,No,Yes,No,Yes
College of Education,"Instructional Facilitator / LEAD Teacher, M.Ed.",30,No,Yes,No,No,No,No,Yes
College of Education,K-12 Physical Education and Health,120,Yes,No,No,Yes,No,No,No
College of Education,Library Media & Information Specialist Graduate Certificate,24,No,No,Yes,No,Yes,No,Yes
College of Education,"M.Ed., Higher, Adult, and Lifelong Education (HALE)",30,No,Yes,No,No,No,No,Yes
College of Education,Master of Arts in Teaching,30,No,Yes,No,No,No,No,Yes
College of Education,Master of Education (Library Media and Information Specialist),30,No,No,Yes,No,No,No,Yes
College of Education,Master of Education (School Counseling),48,No,No,Yes,No,No,No,Yes
College of Education,Master of Education in College Counseling and Student Affairs,51,No,Yes,No,No,Yes,No,Yes
College of Education,Master of Education in Educational Leadership in Administration and Supervision,30,No,Yes,No,No,No,No,Yes
College of Education,Master of Education in Special Education,30,No,Yes,No,No,No,No,Yes
College of Education,Master of Science in Clinical and Mental Health Counseling,60,No,Yes,No,No,No,No,Yes
College of Education,Master of Science in Kinesiology – Coaching,33,No,Yes,No,No,No,No,Yes
College of Education,Mathematics with Education Minor,120,Yes,No,No,Yes,No,No,No
College of Education,Middle School Education,120,Yes,No,No,Yes,No,No,No
College of Education,Middle School Education (Associates),61,Yes,No,No,Yes,No,Yes,No
College of Education,Middle School Education (STEM),120,Yes,No,No,Yes,No,No,No
College of Education,Music Education (Instrumental) BFA,125,Yes,No,No,Yes,No,No,No
College of Education,Music Education (Vocal) BFA,0,Yes,No,No,Yes,No,No,No
College of Education,School Counseling Graduate Certificate,12,No,Yes,Yes,No,Yes,No,Yes
College of Education,Special Education K-12 Graduate Certificate,24,No,Yes,No,No,Yes,No,Yes
College of Education,Sport Management,120,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Comparative Literature,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Criminal Justice,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Cyber Criminology,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,English,120,Yes,No,No,Yes,No,No,No
College of Education,English (Education),120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,English (Writing),120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Foreign Language,120,Yes,No,No,Yes,No,No,No
College of Education,Foreign Language (Spanish Education),120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Foreign Language (Spanish),120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,"Game, Animation, and Simulation BFA",121,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,Graphic Design BFA,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,History,120,Yes,No,No,Yes,No,No,No
Dempsey College of L&PA,History (Social Studies Education),120,Yes,No,No,Yes,No,No,No
